x,y
3.73941,2.15778
3.77362,2.25175
3.80782,2.34572
3.84202,2.43969
3.87622,2.53366
3.91042,2.62763
3.94463,2.7216
3.97883,2.81557
4.01303,2.90954
3.5342,1.69397
3.5684,1.78794
3.60261,1.88191
3.63681,1.97588
3.67101,2.06985
3.70521,2.16382
3.73941,2.25778
3.77362,2.35175
3.80782,2.44572
3.84202,2.53969
3.87622,2.63366
3.91042,2.72763
3.94463,2.8216
3.97883,2.91557
3.66276,1.74718
3.72704,1.82378
3.79132,1.90039
3.8556,1.97699
3.91987,2.0536
3.98415,2.1302
4.04843,2.2068
4.11271,2.28341
4.17699,2.36001
4.24127,2.43662
4.30555,2.51322
4.36983,2.58983
4.4341,2.66643
4.49838,2.74304
4.56266,2.81964
4.62694,2.89624
4.69122,2.97285
4.7555,3.04945
4.81978,3.12606
4.88406,3.20266
4.94833,3.27927
5.01261,3.35587
3.4316,1.68794
3.39739,1.78191
3.36319,1.87588
3.32899,1.96985
3.29479,2.06382
3.26059,2.15778
3.22638,2.25175
3.19218,2.34572
3.15798,2.43969
3.5342,1.79397
3.5342,1.89397
3.5342,1.99397
3.5342,2.09397
3.5342,2.19397
3.5342,2.29397
3.5342,2.39397
3.5342,2.49397
3.5342,2.59397
3.5342,2.69397
3.5342,2.79397
3.5342,2.89397
3.5342,2.99397
3.5342,3.09397
3.5342,3.19397
3.5342,1.79397
3.5684,1.88794
3.60261,1.98191
3.63681,2.07588
3.67101,2.16985
3.70521,2.26382
3.73941,2.35778
3.77362,2.45175
3.80782,2.54572
3.84202,2.63969
3.87622,2.73366
3.91042,2.82763
3.94463,2.9216
3.60261,1.78191
3.63681,1.87588
3.67101,1.96985
3.70521,2.06382
3.73941,2.15778
3.77362,2.25175
3.80782,2.34572
3.84202,2.43969
3.87622,2.53366
3.91042,2.62763
3.94463,2.7216
3.97883,2.81557
4.01303,2.90954
3.59848,1.77057
3.66276,1.84718
3.72704,1.92378
3.79132,2.00039
3.8556,2.07699
3.91987,2.1536
3.98415,2.2302
4.04843,2.3068
4.11271,2.38341
4.17699,2.46001
4.24127,2.53662
4.30555,2.61322
4.36983,2.68983
4.4341,2.76643
4.49838,2.84304
4.56266,2.91964
4.62694,2.99624
4.69122,3.07285
4.7555,3.14945
4.81978,3.22606
4.88406,3.30266
4.94833,3.37927
5.01261,3.45587
3.4316,1.78794
3.39739,1.88191
3.36319,1.97588
3.32899,2.06985
3.29479,2.16382
3.26059,2.25778
3.22638,2.35175
3.19218,2.44572
3.4316,1.78794
3.39739,1.88191
3.36319,1.97588
3.32899,2.06985
3.29479,2.16382
3.26059,2.25778
3.22638,2.35175
3.19218,2.44572
3.68508,1.72057
3.77169,1.77057
3.85829,1.82057
3.94489,1.87057
4.03149,1.92057
4.1181,1.97057
4.2047,2.02057
4.2913,2.07057
4.3779,2.12057
4.46451,2.17057
4.55111,2.22057
4.63771,2.27057
4.72431,2.32057
4.81092,2.37057
4.89752,2.42057
4.98412,2.47057
5.07072,2.52057
3.5684,1.78794
3.60261,1.88191
3.63681,1.97588
3.67101,2.06985
3.70521,2.16382
3.73941,2.25778
3.77362,2.35175
3.80782,2.44572
3.84202,2.53969
3.87622,2.63366
3.91042,2.72763
3.94463,2.8216
3.97883,2.91557
3.39739,1.78191
3.36319,1.87588
3.32899,1.96985
3.29479,2.06382
3.26059,2.15778
3.22638,2.25175
3.19218,2.34572
3.15798,2.43969
3.5342,1.79397
3.5342,1.89397
3.5342,1.99397
3.5342,2.09397
3.5342,2.19397
3.5342,2.29397
3.5342,2.39397
3.5342,2.49397
3.5342,2.59397
3.5342,2.69397
3.5342,2.79397
3.5342,2.89397
3.5342,2.99397
3.5342,3.09397
3.5342,3.19397
3.63268,1.76454
3.69696,1.84115
3.76124,1.91775
3.82552,1.99436
3.8898,2.07096
3.95408,2.14757
4.01836,2.22417
4.08263,2.30077
4.14691,2.37738
4.21119,2.45398
4.27547,2.53059
4.33975,2.60719
4.40403,2.6838
4.46831,2.7604
4.53259,2.83701
4.59686,2.91361
4.66114,2.99021
4.72542,3.06682
4.7897,3.14342
4.85398,3.22003
4.91826,3.29663
4.98254,3.37324
5.04682,3.44984
3.63268,1.76454
3.66688,1.85851
3.70109,1.95248
3.73529,2.04645
3.76949,2.14042
3.80369,2.23439
3.83789,2.32836
3.8721,2.42233
3.9063,2.5163
3.9405,2.61027
3.9747,2.70424
4.0089,2.7982
4.04311,2.89217
4.07731,2.98614
3.5,1.8
3.5,1.9
3.5,2
3.5,2.1
3.5,2.2
3.5,2.3
3.5,2.4
3.5,2.5
3.5,2.6
3.5,2.7
3.5,2.8
3.5,2.9
3.5,3
3.5,3.1
3.5,3.2
3.5684,1.78794
3.5684,1.88794
3.5684,1.98794
3.5684,2.08794
3.5684,2.18794
3.5684,2.28794
3.5684,2.38794
3.5684,2.48794
3.5684,2.58794
3.5684,2.68794
3.5684,2.78794
3.5684,2.88794
3.5684,2.98794
3.5684,3.08794
3.33724,1.74718
3.27296,1.82378
3.20868,1.90039
3.1444,1.97699
3.08013,2.0536
3.01585,2.1302
3.40152,1.77057
3.33724,1.84718
3.27296,1.92378
3.20868,2.00039
3.1444,2.07699
3.08013,2.1536
3.5,1.78794
3.4658,1.88191
3.4316,1.97588
3.39739,2.06985
3.36319,2.16382
3.32899,2.25778
3.29479,2.35175
3.26059,2.44572
3.22638,2.53969
3.19218,2.63366
3.15798,2.72763
3.74936,1.79718
3.83596,1.84718
3.92257,1.89718
4.00917,1.94718
4.09577,1.99718
4.18237,2.04718
4.26898,2.09718
4.35558,2.14718
4.44218,2.19718
4.52878,2.24718
4.61539,2.29718
4.70199,2.34718
4.78859,2.39718
4.8752,2.44718
4.9618,2.49718
5.0484,2.54718
3.4658,1.79397
3.4658,1.89397
3.4658,1.99397
3.4658,2.09397
3.4658,2.19397
3.4658,2.29397
3.4658,2.39397
3.4658,2.49397
3.4658,2.59397
3.4658,2.69397
3.4658,2.79397
3.4658,2.89397
3.4658,2.99397
3.4658,3.09397
3.4658,3.19397
3.4658,3.29397
3.5684,1.78794
3.60261,1.88191
3.63681,1.97588
3.67101,2.06985
3.70521,2.16382
3.73941,2.25778
3.77362,2.35175
3.80782,2.44572
3.84202,2.53969
3.87622,2.63366
3.91042,2.72763
3.94463,2.8216
3.97883,2.91557
3.66688,1.85851
3.70109,1.95248
3.73529,2.04645
3.76949,2.14042
3.80369,2.23439
3.83789,2.32836
3.8721,2.42233
3.9063,2.5163
3.9405,2.61027
3.9747,2.70424
4.0089,2.7982
4.04311,2.89217
4.07731,2.98614
3.36732,1.76454
3.30304,1.84115
3.23876,1.91775
3.17448,1.99436
3.1102,2.07096
3.04592,2.14757
3.4658,1.79397
3.4316,1.88794
3.39739,1.98191
3.36319,2.07588
3.32899,2.16985
3.29479,2.26382
3.26059,2.35778
3.22638,2.45175
3.19218,2.54572
3.78356,1.73794
3.88204,1.7553
3.98053,1.77267
4.07901,1.79003
4.17749,1.8074
4.27597,1.82476
4.37445,1.84213
4.47293,1.85949
4.57141,1.87686
4.66989,1.89422
4.76837,1.91159
4.86685,1.92895
4.96533,1.94632
5.06381,1.96368
3.5,1.88794
3.4658,1.98191
3.4316,2.07588
3.39739,2.16985
3.36319,2.26382
3.32899,2.35778
3.29479,2.45175
3.26059,2.54572
3.22638,2.63969
3.19218,2.73366
3.15798,2.82763
3.12378,2.9216
3.08958,3.01557
3.05537,3.10954
3.02117,3.20351
2.98697,3.29748
2.95277,3.39145
2.91857,3.48542
2.88436,3.57939
2.85016,3.67335
2.81596,3.76732
2.78176,3.86129
2.74756,3.95526
2.71335,4.04923
2.67915,4.1432
2.64495,4.23717
2.61075,4.33114
2.57655,4.42511
2.54234,4.51908
2.50814,4.61305
2.47394,4.70702
2.43974,4.80099
2.40554,4.89495
2.37133,4.98892
2.33713,5.08289
3.63268,1.86454
3.69696,1.94115
3.76124,2.01775
3.82552,2.09436
3.8898,2.17096
3.95408,2.24757
4.01836,2.32417
4.08263,2.40077
4.14691,2.47738
4.21119,2.55398
4.27547,2.63059
4.33975,2.70719
4.40403,2.7838
4.46831,2.8604
4.53259,2.93701
4.59686,3.01361
4.66114,3.09021
4.72542,3.16682
4.7897,3.24342
4.85398,3.32003
4.91826,3.39663
4.98254,3.47324
5.04682,3.54984
3.63268,1.86454
3.66688,1.95851
3.70109,2.05248
3.73529,2.14645
3.76949,2.24042
3.80369,2.33439
3.83789,2.42836
3.8721,2.52233
3.9063,2.6163
3.9405,2.71027
3.9747,2.80424
4.0089,2.8982
4.04311,2.99217
3.5342,1.88191
3.5,1.97588
3.4658,2.06985
3.4316,2.16382
3.39739,2.25778
3.36319,2.35175
3.32899,2.44572
3.29479,2.53969
3.26059,2.63366
3.22638,2.72763
3.19218,2.8216
3.15798,2.91557
3.12378,3.00954
3.08958,3.10351
3.05537,3.19748
3.02117,3.29145
2.98697,3.38542
2.95277,3.47939
2.91857,3.57335
2.88436,3.66732
2.85016,3.76129
2.81596,3.85526
2.78176,3.94923
2.74756,4.0432
2.71335,4.13717
2.67915,4.23114
2.64495,4.32511
2.61075,4.41908
2.57655,4.51305
2.54234,4.60702
2.50814,4.70099
2.47394,4.79495
2.43974,4.88892
2.40554,4.98289
2.37133,5.07686
3.31492,1.72057
3.22831,1.77057
3.14171,1.82057
3.05511,1.87057
2.96851,1.92057
3.69696,1.84115
3.76124,1.91775
3.82552,1.99436
3.8898,2.07096
3.95408,2.14757
4.01836,2.22417
4.08263,2.30077
4.14691,2.37738
4.21119,2.45398
4.27547,2.53059
4.33975,2.60719
4.40403,2.6838
4.46831,2.7604
4.53259,2.83701
4.59686,2.91361
4.66114,2.99021
4.72542,3.06682
4.7897,3.14342
4.85398,3.22003
4.91826,3.29663
4.98254,3.37324
5.04682,3.44984
3.66688,1.85851
3.73116,1.93512
3.79544,2.01172
3.85972,2.08833
3.924,2.16493
3.98828,2.24153
4.05256,2.31814
4.11684,2.39474
4.18111,2.47135
4.24539,2.54795
4.30967,2.62456
4.37395,2.70116
4.43823,2.77777
4.50251,2.85437
4.56679,2.93097
4.63107,3.00758
4.69534,3.08418
4.75962,3.16079
4.8239,3.23739
4.88818,3.314
4.95246,3.3906
5.01674,3.46721
3.5,1.9
3.5,2
3.5,2.1
3.5,2.2
3.5,2.3
3.5,2.4
3.5,2.5
3.5,2.6
3.5,2.7
3.5,2.8
3.5,2.9
3.5,3
3.5,3.1
3.5,3.2
3.5,1.88794
3.5,1.98794
3.5,2.08794
3.5,2.18794
3.5,2.28794
3.5,2.38794
3.5,2.48794
3.5,2.58794
3.5,2.68794
3.5,2.78794
3.5,2.88794
3.5,2.98794
3.5,3.08794
3.5,3.18794
3.5684,1.88794
3.60261,1.98191
3.63681,2.07588
3.67101,2.16985
3.70521,2.26382
3.73941,2.35778
3.77362,2.45175
3.80782,2.54572
3.84202,2.63969
3.87622,2.73366
3.91042,2.82763
3.94463,2.9216
3.72704,1.82378
3.79132,1.90039
3.8556,1.97699
3.91987,2.0536
3.98415,2.1302
4.04843,2.2068
4.11271,2.28341
4.17699,2.36001
4.24127,2.43662
4.30555,2.51322
4.36983,2.58983
4.4341,2.66643
4.49838,2.74304
4.56266,2.81964
4.62694,2.89624
4.69122,2.97285
4.7555,3.04945
4.81978,3.12606
4.88406,3.20266
4.94833,3.27927
5.01261,3.35587
3.5684,1.88794
3.5684,1.98794
3.5684,2.08794
3.5684,2.18794
3.5684,2.28794
3.5684,2.38794
3.5684,2.48794
3.5684,2.58794
3.5684,2.68794
3.5684,2.78794
3.5684,2.88794
3.5684,2.98794
3.5684,3.08794
3.5,1.78794
3.5342,1.88191
3.5684,1.97588
3.60261,2.06985
3.63681,2.16382
3.67101,2.25778
3.70521,2.35175
3.73941,2.44572
3.77362,2.53969
3.80782,2.63366
3.84202,2.72763
3.87622,2.8216
3.91042,2.91557
3.4658,1.79397
3.4658,1.89397
3.4658,1.99397
3.4658,2.09397
3.4658,2.19397
3.4658,2.29397
3.4658,2.39397
3.4658,2.49397
3.4658,2.59397
3.4658,2.69397
3.4658,2.79397
3.4658,2.89397
3.4658,2.99397
3.4658,3.09397
3.4658,3.19397
3.4658,3.29397
3.63268,1.86454
3.63268,1.96454
3.63268,2.06454
3.63268,2.16454
3.63268,2.26454
3.63268,2.36454
3.63268,2.46454
3.63268,2.56454
3.63268,2.66454
3.63268,2.76454
3.63268,2.86454
3.63268,2.96454
3.63268,3.06454
3.5684,1.88794
3.60261,1.98191
3.63681,2.07588
3.67101,2.16985
3.70521,2.26382
3.73941,2.35778
3.77362,2.45175
3.80782,2.54572
3.84202,2.63969
3.87622,2.73366
3.91042,2.82763
3.94463,2.9216
3.4316,1.88794
3.39739,1.98191
3.36319,2.07588
3.32899,2.16985
3.29479,2.26382
3.26059,2.35778
3.22638,2.45175
3.19218,2.54572
3.5684,1.88794
3.60261,1.98191
3.63681,2.07588
3.67101,2.16985
3.70521,2.26382
3.73941,2.35778
3.77362,2.45175
3.80782,2.54572
3.84202,2.63969
3.87622,2.73366
3.91042,2.82763
3.94463,2.9216
3.63268,1.86454
3.69696,1.94115
3.76124,2.01775
3.82552,2.09436
3.8898,2.17096
3.95408,2.24757
4.01836,2.32417
4.08263,2.40077
4.14691,2.47738
4.21119,2.55398
4.27547,2.63059
4.33975,2.70719
4.40403,2.7838
4.46831,2.8604
4.53259,2.93701
4.59686,3.01361
4.66114,3.09021
4.72542,3.16682
4.7897,3.24342
4.85398,3.32003
4.91826,3.39663
4.98254,3.47324
5.04682,3.54984
3.4316,1.88794
3.39739,1.98191
3.36319,2.07588
3.32899,2.16985
3.29479,2.26382
3.26059,2.35778
3.22638,2.45175
3.19218,2.54572
3.71929,1.81454
3.80589,1.86454
3.89249,1.91454
3.97909,1.96454
4.0657,2.01454
4.1523,2.06454
4.2389,2.11454
4.3255,2.16454
4.41211,2.21454
4.49871,2.26454
4.58531,2.31454
4.67191,2.36454
4.75852,2.41454
4.84512,2.46454
4.93172,2.51454
5.01832,2.56454
3.4316,1.78794
3.4316,1.88794
3.4316,1.98794
3.4316,2.08794
3.4316,2.18794
3.4316,2.28794
3.4316,2.38794
3.4316,2.48794
3.4316,2.58794
3.4316,2.68794
3.4316,2.78794
3.4316,2.88794
3.4316,2.98794
3.4316,3.08794
3.4316,3.18794
3.4316,3.28794
3.4316,3.38794
3.74936,1.79718
3.81364,1.87378
3.87792,1.95039
3.9422,2.02699
4.00648,2.1036
4.07076,2.1802
4.13503,2.2568
4.19931,2.33341
4.26359,2.41001
4.32787,2.48662
4.39215,2.56322
4.45643,2.63983
4.52071,2.71643
4.58499,2.79304
4.64926,2.86964
4.71354,2.94624
4.77782,3.02285
4.8421,3.09945
4.90638,3.17606
4.97066,3.25266
5.03494,3.32927
3.36732,1.76454
3.33312,1.85851
3.29891,1.95248
3.26471,2.04645
3.23051,2.14042
3.19631,2.23439
3.16211,2.32836
3.60261,1.88191
3.63681,1.97588
3.67101,2.06985
3.70521,2.16382
3.73941,2.25778
3.77362,2.35175
3.80782,2.44572
3.84202,2.53969
3.87622,2.63366
3.91042,2.72763
3.94463,2.8216
3.97883,2.91557
3.66276,1.84718
3.72704,1.92378
3.79132,2.00039
3.8556,2.07699
3.91987,2.1536
3.98415,2.2302
4.04843,2.3068
4.11271,2.38341
4.17699,2.46001
4.24127,2.53662
4.30555,2.61322
4.36983,2.68983
4.4341,2.76643
4.49838,2.84304
4.56266,2.91964
4.62694,2.99624
4.69122,3.07285
4.7555,3.14945
4.81978,3.22606
4.88406,3.30266
4.94833,3.37927
5.01261,3.45587
3.40152,1.87057
3.33724,1.94718
3.27296,2.02378
3.20868,2.10039
3.1444,2.17699
3.08013,2.2536
3.69696,1.84115
3.73116,1.93512
3.76537,2.02909
3.79957,2.12306
3.83377,2.21702
3.86797,2.31099
3.90217,2.40496
3.93638,2.49893
3.97058,2.5929
4.00478,2.68687
4.03898,2.78084
4.07318,2.87481
4.10739,2.96878
3.4658,1.88191
3.5,1.97588
3.5342,2.06985
3.5684,2.16382
3.60261,2.25778
3.63681,2.35175
3.67101,2.44572
3.70521,2.53969
3.73941,2.63366
3.77362,2.72763
3.80782,2.8216
3.84202,2.91557
3.87622,3.00954
3.63681,1.87588
3.67101,1.96985
3.70521,2.06382
3.73941,2.15778
3.77362,2.25175
3.80782,2.34572
3.84202,2.43969
3.87622,2.53366
3.91042,2.62763
3.94463,2.7216
3.97883,2.81557
4.01303,2.90954
3.60261,1.88191
3.63681,1.97588
3.67101,2.06985
3.70521,2.16382
3.73941,2.25778
3.77362,2.35175
3.80782,2.44572
3.84202,2.53969
3.87622,2.63366
3.91042,2.72763
3.94463,2.8216
3.97883,2.91557
3.5,1.88794
3.5,1.98794
3.5,2.08794
3.5,2.18794
3.5,2.28794
3.5,2.38794
3.5,2.48794
3.5,2.58794
3.5,2.68794
3.5,2.78794
3.5,2.88794
3.5,2.98794
3.5,3.08794
3.5,3.18794
3.43572,1.86454
3.37144,1.94115
3.30716,2.01775
3.24288,2.09436
3.17861,2.17096
3.11433,2.24757
3.4316,1.88794
3.4316,1.98794
3.4316,2.08794
3.4316,2.18794
3.4316,2.28794
3.4316,2.38794
3.4316,2.48794
3.4316,2.58794
3.4316,2.68794
3.4316,2.78794
3.4316,2.88794
3.4316,2.98794
3.4316,3.08794
3.4316,3.18794
3.4316,3.28794
3.4316,3.38794
3.39739,1.88191
3.36319,1.97588
3.32899,2.06985
3.29479,2.16382
3.26059,2.25778
3.22638,2.35175
3.19218,2.44572
3.5,1.88794
3.4658,1.98191
3.4316,2.07588
3.39739,2.16985
3.36319,2.26382
3.32899,2.35778
3.29479,2.45175
3.26059,2.54572
3.22638,2.63969
3.19218,2.73366
3.15798,2.82763
3.12378,2.9216
3.08958,3.01557
3.05537,3.10954
3.02117,3.20351
2.98697,3.29748
2.95277,3.39145
2.91857,3.48542
2.88436,3.57939
2.85016,3.67335
2.81596,3.76732
2.78176,3.86129
2.74756,3.95526
2.71335,4.04923
2.67915,4.1432
2.64495,4.23717
2.61075,4.33114
2.57655,4.42511
2.54234,4.51908
2.50814,4.61305
2.47394,4.70702
2.43974,4.80099
2.40554,4.89495
2.37133,4.98892
2.33713,5.08289
3.68508,1.82057
3.77169,1.87057
3.85829,1.92057
3.94489,1.97057
4.03149,2.02057
4.1181,2.07057
4.2047,2.12057
4.2913,2.17057
4.3779,2.22057
4.46451,2.27057
4.55111,2.32057
4.63771,2.37057
4.72431,2.42057
4.81092,2.47057
4.89752,2.52057
4.98412,2.57057
5.07072,2.62057
3.77169,1.77057
3.85829,1.82057
3.94489,1.87057
4.03149,1.92057
4.1181,1.97057
4.2047,2.02057
4.2913,2.07057
4.3779,2.12057
4.46451,2.17057
4.55111,2.22057
4.63771,2.27057
4.72431,2.32057
4.81092,2.37057
4.89752,2.42057
4.98412,2.47057
5.07072,2.52057
3.4658,1.89397
3.4316,1.98794
3.39739,2.08191
3.36319,2.17588
3.32899,2.26985
3.29479,2.36382
3.26059,2.45778
3.22638,2.55175
3.19218,2.64572
3.15798,2.73969
3.12378,2.83366
3.08958,2.92763
3.05537,3.0216
3.02117,3.11557
2.98697,3.20954
2.95277,3.30351
2.91857,3.39748
2.88436,3.49145
2.85016,3.58542
2.81596,3.67939
2.78176,3.77335
2.74756,3.86732
2.71335,3.96129
2.67915,4.05526
2.64495,4.14923
2.61075,4.2432
2.57655,4.33717
2.54234,4.43114
2.50814,4.52511
2.47394,4.61908
2.43974,4.71305
2.40554,4.80702
2.37133,4.90099
2.33713,4.99495
2.30293,5.08892
3.31492,1.82057
3.22831,1.87057
3.14171,1.92057
3.05511,1.97057
2.96851,2.02057
3.33312,1.85851
3.26884,1.93512
3.20456,2.01172
3.14028,2.08833
3.076,2.16493
3.60261,1.88191
3.63681,1.97588
3.67101,2.06985
3.70521,2.16382
3.73941,2.25778
3.77362,2.35175
3.80782,2.44572
3.84202,2.53969
3.87622,2.63366
3.91042,2.72763
3.94463,2.8216
3.97883,2.91557
3.66688,1.85851
3.70109,1.95248
3.73529,2.04645
3.76949,2.14042
3.80369,2.23439
3.83789,2.32836
3.8721,2.42233
3.9063,2.5163
3.9405,2.61027
3.9747,2.70424
4.0089,2.7982
4.04311,2.89217
4.07731,2.98614
3.59848,1.87057
3.66276,1.94718
3.72704,2.02378
3.79132,2.10039
3.8556,2.17699
3.91987,2.2536
3.98415,2.3302
4.04843,2.4068
4.11271,2.48341
4.17699,2.56001
4.24127,2.63662
4.30555,2.71322
4.36983,2.78983
4.4341,2.86643
4.49838,2.94304
4.56266,3.01964
4.62694,3.09624
4.69122,3.17285
4.7555,3.24945
4.81978,3.32606
4.88406,3.40266
4.94833,3.47927
5.01261,3.55587
3.69696,1.84115
3.76124,1.91775
3.82552,1.99436
3.8898,2.07096
3.95408,2.14757
4.01836,2.22417
4.08263,2.30077
4.14691,2.37738
4.21119,2.45398
4.27547,2.53059
4.33975,2.60719
4.40403,2.6838
4.46831,2.7604
4.53259,2.83701
4.59686,2.91361
4.66114,2.99021
4.72542,3.06682
4.7897,3.14342
4.85398,3.22003
4.91826,3.29663
4.98254,3.37324
5.04682,3.44984
3.33312,1.85851
3.29891,1.95248
3.26471,2.04645
3.23051,2.14042
3.19631,2.23439
3.16211,2.32836
3.5342,1.89397
3.5342,1.99397
3.5342,2.09397
3.5342,2.19397
3.5342,2.29397
3.5342,2.39397
3.5342,2.49397
3.5342,2.59397
3.5342,2.69397
3.5342,2.79397
3.5342,2.89397
3.5342,2.99397
3.5342,3.09397
3.5342,3.19397
3.81364,1.87378
3.90024,1.92378
3.98685,1.97378
4.07345,2.02378
4.16005,2.07378
4.24665,2.12378
4.33326,2.17378
4.41986,2.22378
4.50646,2.27378
4.59306,2.32378
4.67967,2.37378
4.76627,2.42378
4.85287,2.47378
4.93947,2.52378
5.02608,2.57378
3.60261,1.88191
3.60261,1.98191
3.60261,2.08191
3.60261,2.18191
3.60261,2.28191
3.60261,2.38191
3.60261,2.48191
3.60261,2.58191
3.60261,2.68191
3.60261,2.78191
3.60261,2.88191
3.60261,2.98191
3.60261,3.08191
3.5342,1.89397
3.5684,1.98794
3.60261,2.08191
3.63681,2.17588
3.67101,2.26985
3.70521,2.36382
3.73941,2.45778
3.77362,2.55175
3.80782,2.64572
3.84202,2.73969
3.87622,2.83366
3.91042,2.92763
3.5342,1.89397
3.5342,1.99397
3.5342,2.09397
3.5342,2.19397
3.5342,2.29397
3.5342,2.39397
3.5342,2.49397
3.5342,2.59397
3.5342,2.69397
3.5342,2.79397
3.5342,2.89397
3.5342,2.99397
3.5342,3.09397
3.5342,3.19397
3.5342,1.88191
3.5684,1.97588
3.60261,2.06985
3.63681,2.16382
3.67101,2.25778
3.70521,2.35175
3.73941,2.44572
3.77362,2.53969
3.80782,2.63366
3.84202,2.72763
3.87622,2.8216
3.91042,2.91557
3.5684,1.88794
3.5684,1.98794
3.5684,2.08794
3.5684,2.18794
3.5684,2.28794
3.5684,2.38794
3.5684,2.48794
3.5684,2.58794
3.5684,2.68794
3.5684,2.78794
3.5684,2.88794
3.5684,2.98794
3.5684,3.08794
3.81364,1.87378
3.87792,1.95039
3.9422,2.02699
4.00648,2.1036
4.07076,2.1802
4.13503,2.2568
4.19931,2.33341
4.26359,2.41001
4.32787,2.48662
4.39215,2.56322
4.45643,2.63983
4.52071,2.71643
4.58499,2.79304
4.64926,2.86964
4.71354,2.94624
4.77782,3.02285
4.8421,3.09945
4.90638,3.17606
4.97066,3.25266
5.03494,3.32927
3.4658,1.89397
3.4658,1.99397
3.4658,2.09397
3.4658,2.19397
3.4658,2.29397
3.4658,2.39397
3.4658,2.49397
3.4658,2.59397
3.4658,2.69397
3.4658,2.79397
3.4658,2.89397
3.4658,2.99397
3.4658,3.09397
3.4658,3.19397
3.4658,3.29397
3.33312,1.85851
3.29891,1.95248
3.26471,2.04645
3.23051,2.14042
3.19631,2.23439
3.16211,2.32836
3.76124,1.91775
3.82552,1.99436
3.8898,2.07096
3.95408,2.14757
4.01836,2.22417
4.08263,2.30077
4.14691,2.37738
4.21119,2.45398
4.27547,2.53059
4.33975,2.60719
4.40403,2.6838
4.46831,2.7604
4.53259,2.83701
4.59686,2.91361
4.66114,2.99021
4.72542,3.06682
4.7897,3.14342
4.85398,3.22003
4.91826,3.29663
4.98254,3.37324
5.04682,3.44984
3.5684,1.88794
3.5684,1.98794
3.5684,2.08794
3.5684,2.18794
3.5684,2.28794
3.5684,2.38794
3.5684,2.48794
3.5684,2.58794
3.5684,2.68794
3.5684,2.78794
3.5684,2.88794
3.5684,2.98794
3.5684,3.08794
3.74936,1.89718
3.83596,1.94718
3.92257,1.99718
4.00917,2.04718
4.09577,2.09718
4.18237,2.14718
4.26898,2.19718
4.35558,2.24718
4.44218,2.29718
4.52878,2.34718
4.61539,2.39718
4.70199,2.44718
4.78859,2.49718
4.8752,2.54718
4.9618,2.59718
5.0484,2.64718
3.5,1.88794
3.5342,1.98191
3.5684,2.07588
3.60261,2.16985
3.63681,2.26382
3.67101,2.35778
3.70521,2.45175
3.73941,2.54572
3.77362,2.63969
3.80782,2.73366
3.84202,2.82763
3.87622,2.9216
3.76124,1.91775
3.82552,1.99436
3.8898,2.07096
3.95408,2.14757
4.01836,2.22417
4.08263,2.30077
